"Name","Average coverage","Reference length"
"853","36.346","3615"
"854","15.31","1692"
"855","9.472","10309"
"856","515.253","1866"
"857","54.513","2830"
"858","1.414","13702"
"859","1807.169","2169"
"860","3.079","9215"
"861","1.719","24928"
"862","0.58","1405"
"863","31.727","4128"
"864","63.872","2928"
"865","35.331","7813"
"866","11.364","1367"
"867","5.648","6581"
"868","0.151","42681"
"869","7.433","2315"
"870","15.188","2547"
"871","0.768","2919"
"872","13.999","8689"
"873","1.088","1237"
"874","6.409","2675"
"875","0","1436"
"876","41.31","2492"
"877","42.914","2584"
"878","118.694","1548"
"879","2122.456","1620"
"880","26.666","16464"
"881","19.723","31653"
"882","2391.23","2119"
"883","1787.708","1937"
"884","32.526","5530"
"885","1465.256","2960"
"886","9.616","2295"
"887","0.175","23189"
"888","0","1432"
"889","45.334","2863"
"890","24.179","15160"
"891","54.643","6255"
"892","65.994","8498"
"893","1361.946","1695"
"894","5.215","3048"
"895","5.986","5940"
"896","0","2323"
"897","597.978","20268"
"898","0.91","251868"
"899","5.07","10803"
"900","34.596","3197"
"901","25.545","1112"
"902","29.378","1112"
"903","60.941","17302"
"904","65.064","1255"
"905","33.648","15498"
"906","1899.318","1130"
"907","9.54","1377"
"908","1.344","30061"
"909","1.952","1090"
"910","0.842","5473"
"911","100.369","33777"
"912","0.882","24099"
"913","22.042","1106"
"914","3.089","38517"
"915","8.765","26617"
"916","1.925","42647"
"917","56.436","11897"
"918","3.352","3647"
"919","0.898","8103"
"920","1708.489","2873"
"921","1728.781","2965"
"922","13.19","1188"
"923","4.94","2005"
"924","48.612","2895"
"925","4.93","2409"
"926","8.188","16815"
"927","0.386","2658"
"928","78.183","20580"
"929","0.259","1109"
"930","11.922","1672"
"931","0.162","21589"
"932","6.687","6207"
"933","10.369","3324"
"934","82.614","85771"
"935","0.185","4839"
"936","1365.036","3125"
"937","0.8","117890"
"938","72.55","3070"
"939","102.888","11058"
"940","1.36","343625"
"941","43.249","1010"
"942","41.787","1087"
"943","14.108","8516"
"944","6.607","3887"
"945","3.172","1664"
"946","43.892","17700"
"947","90.186","18889"
"948","0.176","1526"
"949","0.158","5258"
"950","9.312","19913"
"951","2423.249","3643"
"952","338.607","19037"
"953","46.945","2940"
"954","15.277","13030"
"955","302.304","45654"
"956","0.717","14323"
"957","9.764","1621"
"958","0.074","18464"
"959","6.994","3240"
"960","12.164","1761"
"961","0.973","2945"
"962","43.674","11877"
"963","4.232","11848"
"964","2.564","4599"
"965","39.177","2414"
"966","68.13","1737"
"967","39.949","4007"
"968","322.177","11368"
"969","1193.504","1179"
"970","1360.024","2998"
"971","4.229","41418"
"972","93.605","14945"
"973","44.93","1050"
"974","0.25","3387"
"975","67.202","4999"
"976","3.507","4423"
"977","25.096","14510"
"978","76.717","3038"
"979","17.717","6312"
"980","30.092","22211"
"981","7.403","45830"
"982","23.338","2356"
"983","41.365","3640"
"984","3.764","1761"
"985","1460.251","1448"
"986","0.149","20456"
"987","2617.924","4446"
"988","15.846","8649"
"989","10.302","2001"
"990","2.194","6319"
"991","2999.893","2906"
"992","0.098","10260"
"993","819.778","4263"
"994","2157.408","1065"
"995","84.587","9065"
"996","1640.418","1476"
"997","8.371","30297"
"998","2043.324","9443"
"999","10.421","11786"
"1000","1.386","1256"
"1001","3.829","3385"
"1002","13.046","13190"
"1003","0.074","127920"
"1004","91.349","13495"
"1005","52.821","4514"
"1006","12.728","17492"
"1007","4.322","65445"
"1008","63.611","17191"
"1009","0.031","4797"
