"Name","Average coverage","Reference length"
"1182","16.124","11031"
"1183","123.107","2233"
"1184","1841.031","1502"
"1185","37.163","42229"
"1186","990.15","2634"
"1187","223.439","1881"
"1188","48.296","97156"
"1189","554.813","1941"
"1190","568.103","1393"
"1191","62.631","2096"
"1192","156.167","7060"
"1193","166.908","5218"
"1194","39.654","13548"
"1195","425.378","10774"
"1196","1207.751","2923"
"1197","102.702","13999"
"1198","1598.833","19085"
"1199","30.678","32698"
"1200","48.283","10534"
"1201","1687.917","1670"
"1202","291.463","1509"
"1203","299.359","1882"
"1204","88.682","123882"
"1205","36.2","7483"
"1206","27.437","6469"
"1207","92.502","7584"
"1208","173.075","12634"
"1209","97.633","2400"
"1210","46.157","7273"
"1211","1481.461","36660"
"1212","30.074","27683"
"1213","11.795","1262"
"1214","3633.4","3423"
"1215","1951.016","8704"
"1216","102.29","9875"
"1217","603.297","1049"
"1218","6.455","1207"
"1219","541.463","81276"
"1220","63.142","19839"
"1221","35.007","3040"
"1222","17.957","5385"
"1223","1369.327","7974"
"1224","30.183","51634"
"1225","79.839","296584"
"1226","9.469","1350"
"1227","9.242","1235"
"1228","8.756","3010"
